Variable,T_Statistic,P_Value,Effect_Size,High_Mean,Low_Mean,Significant
Pct_TwoOrMore,2.161131874954213,0.037361963131870436,0.5692892937704823,4.696666666666667,1.9100000000000001,True
Pct_SomeOther_Alone,-1.5228684291359869,0.1346618404877781,-0.41367211740139753,84.36999999999998,88.38000000000001,False
Pct_White_Alone,1.2855503886183697,0.2047839170854678,0.3579864646113671,4.173333333333333,3.0600000000000005,False
GEOID,1.0104787362166567,0.3175151467315874,0.28517222127664366,18091.333333333332,18076.5,False
Pct_NHPI_Alone,-0.8561067835367703,0.3963607368267913,-0.2418224669730406,93.94,95.07000000000001,False
Unemployment_Rate,0.8246587861874435,0.41491576650763184,0.24158882992737138,4.176666666666667,3.8649999999999998,False
Pct_Black_Alone,0.6215860734692696,0.5372449870189986,0.16949607946194775,0.6033333333333333,0.51,False
Median_Home_Value,0.41420681710143414,0.6806690491523149,0.11740366850015213,186106.66666666666,180605.0,False
Median_Household_Income,-0.3871584429790137,0.7004048711864029,-0.10914221314856261,67903.36666666667,69008.4,False
Pct_Below_Poverty_Level,0.33243694981663136,0.741538083282483,0.09787530509442963,12.183333333333334,11.834999999999999,False
Median_Age,-0.22613959895931693,0.8220786203494931,-0.06365382973686351,40.00666666666667,40.23499999999999,False
HS_Grad_or_Higher,0.1999436234339088,0.842440790575408,0.05699039618511983,23.54666666666667,23.074999999999996,False
Bachelors_or_Higher,0.15245545595913015,0.8795130009819304,0.043360626830042964,90.32,90.205,False
Pct_Asian_Alone,-0.15231139366381752,0.8798222327412193,-0.044892619653357196,1.1733333333333331,1.2349999999999997,False
Pct_AIAN_Alone,0.14800801037805317,0.8831081771748129,0.043070076367494964,0.12666666666666668,0.12000000000000002,False
Pct_Hispanic,0.10568598577579393,0.9166376688264543,0.032178737726547106,1.2466666666666668,1.225,False
